番号,名前,旧合計,新合計,HP,アタック,ブロック,マジック,バリア,スピード
47,カガリビ,525,458,58,50,59,108,108,75
48,オオヒノオ,650,567,78,67,76,132,105,109
49,マグマゴ,357,311,50,50,80,51,50,30
50,マグマゴレム,534,466,80,71,114,77,77,47
51,ヒバナリ,354,309,44,58,35,43,43,86
52,ライカエン,536,467,63,93,53,67,67,124
53,フェニクス,537,468,62,51,63,109,109,74
54,スミビン,509,444,77,61,108,79,78,41
55,ヨウガンヌシ,650,567,87,122,79,100,83,96
56,シズクン,377,329,48,38,45,74,74,50
57,ミナモン,532,464,60,51,65,112,112,64
58,オオウミオ,640,558,70,64,83,125,125,91
59,サカナビ,357,311,45,58,36,47,47,78
60,スイスイオ,448,391,57,74,45,55,55,105
61,リュウグウ,642,560,71,61,73,133,90,132
62,カニポン,374,326,56,50,83,55,55,27
63,ハサミガニ,468,408,55,108,64,58,57,66
64,オオハサミ,565,493,71,125,76,69,69,83
65,クラゲミ,354,309,57,44,77,50,50,31
66,ラゲドン,594,518,67,63,77,113,113,85
67,コオリン,411,358,42,40,52,85,85,54
68,ヒョウガン,555,484,74,77,117,85,84,47
69,シオマント,479,418,60,98,71,56,56,77
70,ミナモリス,543,474,60,52,63,111,111,77
71,ウズシオヌシ,487,425,110,71,70,68,68,38
72,ビリタマ,408,356,47,42,46,86,85,50
73,ビリボール,527,460,60,55,64,106,106,69
74,サンダマ,682,595,75,70,81,138,138,93
75,ネコデン,358,312,41,57,37,47,47,83
76,デンネコ,469,409,54,74,51,57,57,116
77,ライガミ,595,519,73,92,65,78,78,133
78,チルスパ,352,307,41,60,38,45,44,79
79,ライウィル,479,418,52,76,52,62,62,114
80,ヴォルティア,666,581,78,69,79,135,135,85
81,プラグン,368,321,55,51,80,52,52,31
82,コンセン,524,457,74,77,114,74,74,44
83,ジリジリ,358,312,43,59,40,44,43,83
84,バチバチ,550,480,62,88,59,72,72,127
85,イナヅマル,478,417,63,109,65,56,56,68
86,デンデマリ,508,443,79,61,108,79,78,38
87,ライメイ,575,501,65,58,71,115,79,113
88,ポコリズ,354,309,51,45,83,50,50,30
89,ビートロン,468,408,59,94,64,58,58,75
90,グルーヴァ,579,505,71,125,81,71,71,86
91,イワッコ,355,310,52,47,79,52,51,29
92,ガンセキ,483,421,66,62,112,72,71,38
93,ガンゴレム,573,500,83,73,126,87,86,45
94,スナムシ,348,303,39,56,37,44,43,84
95,サバクムシ,454,396,59,104,58,52,52,71
96,サンドキング,619,540,79,135,84,75,75,92
97,モグポン,359,313,43,54,36,47,47,86
98,モグドリル,521,454,68,123,71,59,59,74
99,カセキン,364,317,56,46,84,50,50,31
100,カセキガミ,523,456,114,84,84,66,66,42
101,ドロヌマ,513,447,119,71,78,71,71,37
102,オニイワ,496,433,63,109,80,60,60,61
103,ジシンヌシ,514,448,96,78,68,52,69,85
104,コガネム,361,315,50,48,85,51,50,31
105,アイバサミ,485,423,62,107,67,59,59,69
106,ガルシザー,543,474,77,126,81,52,68,70
107,チョウマユ,371,324,50,50,82,57,56,29
108,ハネチョウ,516,450,58,49,61,108,108,66
109,ゴクラクチョ,673,587,79,66,76,141,140,85
110,クモッコ,363,317,42,60,39,48,48,80
111,アミグモ,496,433,59,79,51,64,64,116
112,オオグモン,569,496,71,118,84,70,70,83
113,シズリィ,357,311,50,50,80,52,52,27
114,ルミレーヌ,529,461,78,71,114,77,77,44
115,キラル,410,330,43,34,47,79,79,48
116,ルミナイト,586,511,64,63,77,115,115,77
117,ソラリュウ,481,419,62,98,63,63,63,70
118,カゲナギ,534,466,70,105,54,60,60,117
119,クロムギア,531,463,77,70,119,77,77,43
120,カゲポン,360,314,44,58,38,48,48,78
121,シャドウン,457,399,54,73,50,59,58,105
122,ヤミオウ,688,600,79,69,78,141,140,93
123,オバケシ,520,453,65,48,57,109,87,87
124,ユウレイン,590,515,78,57,70,122,96,92
125,ボウレイ,605,528,79,52,61,135,105,96
126,ヨルドリ,340,297,43,54,39,42,42,77
127,ヨイバネ,470,410,58,74,50,58,58,112
128,ヤミフクロウ,663,578,77,62,75,138,138,88
129,ニヤゴ,352,307,45,80,48,39,39,56
130,ワルニール,532,464,65,65,69,113,65,87
131,クロネズ,345,301,42,60,35,44,43,77
132,ヤミネズ,507,442,59,83,57,63,63,117
133,ムラサキビ,558,487,68,52,57,131,100,79
134,ホシミノ,480,419,62,102,61,60,60,74
135,ヤミノヌシ,595,519,74,105,70,96,87,87
136,マルミィ,363,317,79,56,50,51,51,30
137,マルモコ,485,423,114,69,68,67,67,38
138,マルガンテ,578,504,131,92,86,73,73,49
139,ミルピョン,351,306,44,54,37,44,44,83
140,ラピシア,454,396,57,72,47,60,60,100
141,セレピオン,586,511,66,92,60,77,77,139
142,ドラコル,377,329,55,50,82,56,56,30
143,ガルドラン,494,431,72,61,109,75,75,39
144,ヴァルディオ,588,513,128,85,90,83,83,44
145,アオルカ,372,324,52,54,50,56,56,56
146,レイザルト,533,465,74,80,77,77,77,80
147,コイヌン,366,319,42,83,50,44,43,57
148,ダイイヌ,523,456,68,109,75,65,64,75
149,フクモッチ,490,427,77,61,106,72,72,39
150,フワクジ,498,434,112,74,68,69,69,42
151,ラテット,645,740,115,143,115,121,120,126
152,ディーナ,618,640,88,98,83,114,114,143
153,メロロン,600,620,150,98,119,98,98,57
154,コノハギ,259,226,37,45,31,26,30,57
155,ハヤナギ,387,338,52,74,42,42,42,86
156,ワルヴェイン,610,532,79,74,70,131,78,100
157,ルミセリス,560,488,83,57,74,104,96,74
158,キラモル,380,331,52,44,50,68,63,54
159,ソラコ,280,244,39,48,39,35,39,44
160,ハネリュウ,420,366,59,70,57,61,56,63
161,コギア,270,235,42,44,57,30,39,23
162,ギアドン,400,349,59,70,78,48,57,37
163,ヨイコネ,270,235,35,42,30,39,35,54
164,コウエンラ,570,497,78,105,70,83,70,91
165,アオヴァリス,560,488,78,100,83,70,74,83
166,ユラポン,280,244,39,35,39,48,44,39
167,ウキリム,410,358,57,52,57,70,65,57
168,フローティア,550,480,79,70,78,96,87,70
169,カケラル,280,244,39,35,39,48,44,39
170,グラスピア,410,358,57,52,57,70,65,57
171,ステラグラス,550,480,79,70,78,96,87,70
172,コロベル,280,244,39,35,39,48,44,39
173,リンコード,410,358,57,52,57,70,65,57
174,オルケリオン,550,480,79,70,78,96,87,70
175,ネムリフ,280,244,39,35,39,48,44,39
176,ユメモア,410,358,57,52,57,70,65,57
177,ソムニア,550,480,79,70,78,96,87,70
178,スミル,280,244,39,35,39,48,44,39
179,インクルム,410,358,57,52,57,70,65,57
180,オボロニカ,550,480,79,70,78,96,87,70
181,ホノラン,280,244,39,35,39,48,44,39
182,トウロア,410,358,57,52,57,70,65,57
183,カガルディ,550,480,79,70,78,96,87,70
184,ミズマリ,280,244,39,35,39,48,44,39
185,ミナクル,410,358,57,52,57,70,65,57
186,タイドリア,550,480,79,70,78,96,87,70
187,サビット,280,244,39,48,48,35,44,30
188,ギアミム,410,358,57,70,66,52,65,48
189,クロノヴァ,550,480,79,96,87,70,87,61
190,タネフル,280,244,39,35,39,48,44,39
191,コロラナ,410,358,57,52,57,70,65,57
192,フルレイス,550,480,79,70,78,96,87,70
193,ジオポル,280,244,39,48,48,35,44,30
194,ジオリンク,410,358,57,70,66,52,65,48
195,ジオクラウン,550,480,79,96,87,70,87,61
196,ピリゼル,280,244,35,35,30,48,44,52
197,スパルミア,410,358,52,52,48,70,66,70
198,プラズリオン,550,480,74,70,70,96,87,83
199,ホシモチ,525,458,70,65,74,92,83,74
200,クウロム,525,458,70,65,74,92,83,74
